Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,GP RANK,W RANK,L RANK,WIN% RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,BLKA RANK,PF RANK,PFD RANK,+/- RANK
1,Los Angeles Lakers,71,52,19,0.732,3418,8054,3006,6269,48.0,782,2242,34.9,1260,1728,72.9,757,2490,3247,1803,1077,612,468,263,1471,1544,411,,,,,,,,,,,,,,,,,,,,,,,,,,
2,LA Clippers,72,49,23,0.681,3476,8377,2992,6425,46.6,895,2410,37.1,1498,1894,79.1,767,2664,3431,1708,1051,511,338,338,1594,1647,464,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Denver Nuggets,73,46,27,0.63,3549,8124,3069,6488,47.3,801,2234,35.9,1185,1526,77.7,786,2436,3222,1952,1005,586,337,324,1485,1494,154,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Houston Rockets,72,44,28,0.611,3476,8482,2936,6512,45.1,1126,3261,34.5,1484,1876,79.1,704,2484,3188,1557,1057,627,371,354,1566,1515,213,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Oklahoma City Thunder,72,44,28,0.611,3486,7950,2879,6156,46.8,770,2171,35.5,1422,1787,79.6,593,2495,3088,1562,986,550,353,290,1390,1641,143,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Utah Jazz,72,44,28,0.611,3471,8013,2886,6130,47.1,963,2537,38.0,1278,1641,77.9,656,2577,3233,1615,1089,438,292,329,1468,1501,178,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Dallas Mavericks,75,43,32,0.573,3635,8776,3124,6772,46.1,1136,3095,36.7,1392,1787,77.9,791,2729,3520,1849,953,460,363,311,1462,1601,371,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Portland Trail Blazers,74,35,39,0.473,3567,8508,3122,6749,46.3,952,2525,37.7,1312,1632,80.4,754,2599,3353,1525,946,465,451,364,1606,1488,-85,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Memphis Grizzlies,73,34,39,0.466,3514,8222,3106,6634,46.8,798,2297,34.7,1212,1589,76.3,754,2643,3397,1965,1113,576,398,386,1546,1474,-78,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Phoenix Suns,73,34,39,0.466,3519,8294,3006,6429,46.8,831,2320,35.8,1451,1740,83.4,712,2465,3177,1987,1077,559,290,401,1609,1653,16,,,,,,,,,,,,,,,,,,,,,,,,,,
11,San Antonio Spurs,71,32,39,0.451,3443,8098,2995,6350,47.2,760,2021,37.6,1348,1664,81.0,640,2530,3170,1751,895,518,390,308,1377,1424,-79,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sacramento Kings,72,31,41,0.431,3491,7927,2943,6364,46.2,914,2511,36.4,1127,1464,77.0,695,2372,3067,1713,1043,556,293,304,1595,1404,-147,,,,,,,,,,,,,,,,,,,,,,,,,,
13,New Orleans Pelicans,72,30,42,0.417,3486,8341,3065,6598,46.5,982,2656,37.0,1229,1687,72.9,797,2551,3348,1932,1181,539,358,348,1524,1519,-93,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Minnesota Timberwolves,64,19,45,0.297,3112,7248,2586,5865,44.1,853,2540,33.6,1223,1624,75.3,675,2193,2868,1525,981,555,362,355,1370,1383,-275,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Golden State Warriors,65,15,50,0.231,3145,6912,2510,5730,43.8,678,2032,33.4,1214,1511,80.3,647,2138,2785,1663,969,534,299,321,1304,1308,-566,,,,,,,,,,,,,,,,,,,,,,,,,,
